Title,Artist,year
Put Your Money Where Your Mouth Is,Jet,2006
King Without a Crown,Matisyahu,2006
Hands Open,Snow Patrol,2006
Sundress,Ben Kweller,2006
Rip It Up,Jet,2006
Recapturing the Vibe,Hilltop Hoods,2006
Infra-Red,Placebo,2006
Explain,Sarah Blasko,2006
Love Train,Wolfmother,2006
Gone Daddy Gone,Gnarls Barkley,2006
Painkiller,Freestylers featuring Pendulum,2006
Get Up Outta the Dirt,Butterfingers,2006
Black Swan,Thom Yorke,2006
Love Like Semtex,Infadels,2006
Touch the Sky,Kanye West featuring Lupe Fiasco,2006
Better Way,Ben Harper,2006
Tarantula,Pendulum,2006
Mardy Bum,Arctic Monkeys,2006
Work It Out,Jurassic 5 featuring Dave Matthews Band,2006
The Only Difference Between Martyrdom and Suicide Is Press Coverage,Panic! at the Disco,2006
Alfie,Lily Allen,2006
Everything's Just Wonderful,Lily Allen,2006
Learnalilgivinanlovin,Gotye,2006
New York,Eskimo Joe,2006
Slide In Next To Me,Red Riders,2006
World Wide Suicide,Pearl Jam,2006
Standing in the Way of Control,The Gossip,2006
Original Fire,Audioslave,2006
Come and Check Your Head,Blue King Brown,2006
Knights of Cydonia,Muse,2007
Straight Lines,Silverchair,2007
On Call,Kings of Leon,2007
Better Than,John Butler Trio,2007
This Heart Attack,Faker,2007
The Pretender,Foo Fighters,2007
"Harder, Better, Faster, Stronger (Alive 2007)",Daft Punk,2007
Hang Me Up to Dry,Cold War Kids,2007
I'll Kill Her,Soko,2007
Don't Fight It,The Panics,2007
Vitriol,Bluejuice,2007
Let's Dance to Joy Division,The Wombats,2007
Ruby,Kaiser Chiefs,2007
Ice Cream,Muscles,2007
Lost and Running,Powderfinger,2007
Snakeskin,Gyroscope,2007
Paper Planes,M.I.A.,2007
My People,The Presets,2007
Heart It Races,Architecture in Helsinki,2007
Stronger,Kanye West,2007
The Salmon Dance,The Chemical Brothers,2007
Used to Get High,John Butler Trio,2007
Icky Thump,The White Stripes,2007
Hunting for Witches,Bloc Party,2007
We Get Around,Urthboy,2007
Recapturing the Vibe (Restrung),Hilltop Hoods,2007
Just a Song About Ping Pong,Operator Please,2007
Lazy Eye,Silversun Pickups,2007
Real Love (Like a Version),Regina Spektor,2007
If You Keep Losing Sleep,Silverchair,2007
Wasted,Angus & Julia Stone,2007
Opinions Won't Keep You Warm at Night,Kisschasy,2007
Fans,Kings of Leon,2007
1234,Feist,2007
D.A.N.C.E.,Justice,2007
Hold Music,Architecture in Helsinki,2007
Hospital Beds,Cold War Kids,2007
I Thought About You,The Beautiful Girls,2007
Hearts on Fire,Cut Copy,2007
I Still Remember,Bloc Party,2007
Dashboard,Modest Mouse,2007
Back in Your Head,Tegan and Sara,2007
Superstar,Lupe Fiasco,2007
Teenagers,My Chemical Romance,2007
The Beast,Angus & Julia Stone,2007
Tie Up My Hands,British India,2007
What If,Cog,2007
Flux,Bloc Party,2007
Fluorescent Adolescent,Arctic Monkeys,2007
So Many Nights,The Cat Empire,2007
Peachy,Missy Higgins,2007
Spray on Pants,Kisschasy,2007
Steer,Missy Higgins,2007
Golden Skans,Klaxons,2007
Good Excuse,John Butler Trio,2007
Better People,Xavier Rudd,2007
Into the Galaxy,Midnight Juggernauts,2007
Invincible,Muse,2007
Chelsea Dagger,The Fratellis,2007
Charmer,Kings of Leon,2007
Wayside,Birds of Tokyo,2007
No Longer There,The Cat Empire,2007
The Only Way,Karnivool,2007
Australia,The Shins,2007
Smokers Outside the Hospital Doors,Editors,2007
I Don't Remember,Powderfinger,2007
Rehab (Remix),Amy Winehouse featuring Jay-Z,2007
Penny on the Train Track,Ben Kweller,2007
Pogo,Digitalism,2007
The Con,Tegan and Sara,2007
Reach,The Butterfly Effect,2007
Down the Line,José González,2007
Black Tattoo,Grinspoon,2007
Run the Red Light,British India,2007
Shoot the Runner,Kasabian,2007
Sweaty,Muscles,2007
Get What You Want,Operator Please,2007
Brianstorm,Arctic Monkeys,2007
Lines on Palms,Josh Pyke,2007
Reflections of a Sound,Silverchair,2007
No Cars Go,Arcade Fire,2007
Long Road to Ruin,Foo Fighters,2007
Pleased to Meet You,Wolfmother,2007
Do It Again,The Chemical Brothers,2007
Down Boy,Yeah Yeah Yeahs,2007
Tombstone,Midnight Juggernauts,2007
Eliza,Jackson Jackson,2007
The Message,The Cops,2007
"Sick, Sick, Sick",Queens of the Stone Age,2007
When the Lights Went Down,Clare Bowditch and the Feeding Set,2007
Sew My Name,Josh Pyke,2007
Sun Dirt Water,The Waifs,2007
Dr. Love,The Bumblebeez,2007
Jigsaw Falling into Place,Radiohead,2007
Samson,Regina Spektor,2007
Love Me Like the World Is Ending,Ben Lee,2007
Forever Song,Josh Pyke,2007
The Heinrich Maneuver,Interpol,2007
Tick Tick Boom,The Hives,2007
Wild Strawberries,Pnau,2007
Sex on Fire,Kings of Leon,2008
Electric Feel,MGMT,2008
Use Somebody,Kings of Leon,2008
Walking on a Dream,Empire of the Sun,2008
Kids,MGMT,2008
Talk Like That,The Presets,2008
The Festival Song,Pez featuring 360 and Hailey Cramer,2008
This Boy's in Love,The Presets,2008
That's Not My Name,The Ting Tings,2008
Jimmy Recard,Drapht,2008
My Delirium,Ladyhawke,2008
Embrace,Pnau featuring Ladyhawke,2008
The King Is Dead,The Herd,2008
No Sex for Ben,The Rapture,2008
Lights & Music,Cut Copy,2008
You Don't Know Me,Ben Folds featuring Regina Spektor,2008
Dance wiv Me,Dizzee Rascal featuring Calvin Harris and Chrome,2008
Time to Pretend,MGMT,2008
Business Time,Flight of the Conchords,2008
Broken Bones,Birds of Tokyo,2008
Skinny Love,Bon Iver,2008
Silhouettic,Birds of Tokyo,2008
White Noise,The Living End,2008
Closer,Kings of Leon,2008
Never Miss a Beat,Kaiser Chiefs,2008
Paris Is Burning,Ladyhawke,2008
The Lighthouse Song,Josh Pyke,2008
That Beep,Architecture in Helsinki,2008
Make You Happy,Josh Pyke,2008
Oxford Comma,Vampire Weekend,2008
Bird of Feather,Cog,2008
A-Punk,Vampire Weekend,2008
Always Where I Need to Be,The Kooks,2008
Burn Bridges,The Grates,2008
"Dig, Lazarus, Dig!!!",Nick Cave and the Bad Seeds,2008
I Will Possess Your Heart,Death Cab for Cutie,2008
I Said I'm Sorry,British India,2008
Something Is Not Right with Me,Cold War Kids,2008
I Like You So Much Better When You're Naked,Ida Maria,2008
Eye of the Storm[nb 1],Bliss n Eso,2008
I Will Never Love You More,Soko,2008
Jungle Drum,Emilíana Torrini,2008
Ghosts,Laura Marling,2008
Flippers,Art vs. Science,2008
Ice Cream (Triple J live acoustic version)[nb 2],Muscles,2008
The Fear,Lily Allen,2008
Coca-Cola,Little Red,2008
Stay with Me Bright Eyes,Something with Numbers,2008
Young Love,Mystery Jets featuring Laura Marling,2008
Breakout,Ash Grunwald,2008
Wild Eyed Boy,Birds of Tokyo,2008
Human,The Killers,2008
Window and the Watcher,The Butterfly Effect,2008
Baby,Pnau,2008
Your Party,Ween,2008
Yippiyo-Ay,The Presets,2008
L.E.S. Artistes,Santogold,2008
Cape Cod Kwassa Kwassa,Vampire Weekend,2008
Where the City Meets the Sea,The Getaway Plan,2008
The Most Beautiful Girl (In the Room),Flight of the Conchords,2008
The Sea is Rising,Bliss n Eso,2008
Sleepwalking,Faker,2008
2020,The Herd,2008
Dawn of the Dead,"Does It Offend You, Yeah?",2008
White Winter Hymnal,Fleet Foxes,2008
Farewell Rocketship,Children Collide,2008
Hiphopopotamus vs. Rhymenoceros,Flight of the Conchords,2008
We Are the People,Empire of the Sun,2008
Ready for the Floor,Hot Chip,2008
Crawl,Kings of Leon,2008
One (Blake's Got a New Face),Vampire Weekend,2008
No One's Gonna Love You,Band of Horses,2008
Spaceman,The Killers,2008
I'm Not Gonna Teach Your Boyfriend How to Dance with You,Black Kids,2008
Half Full Glass of Wine,Tame Impala,2008
Polka,Yves Klein Blue,2008
Falling,Drapht,2008
Shut Up and Let Me Go,The Ting Tings,2008
Jealousy,Sparkadia,2008
Aw Yeah,The Grates,2008
Pork and Beans,Weezer,2008
Ulysses,Franz Ferdinand,2008
Carve Your Name,The Grates,2008
Re-Education (Through Labor),Rise Against,2008
1981,Gyroscope,2008
Beautiful Ugly,Muph & Plutonic,2008
Another Way to Die[nb 3],Jack White and Alicia Keys,2008
The Day That Never Comes,Metallica,2008
Love Lockdown,Kanye West,2008
Fuck You[nb 4],Lily Allen,2008
Neopolitan Dreams,Lisa Mitchell,2008
Propane Nightmares,Pendulum,2008
Gobbledigook,Sigur Rós,2008
Woodstock 2008,Bliss n Eso,2008
Wearing My Rolex,Wiley,2008
Flex (Dave Spoon Reflex),Dizzee Rascal,2008
Are You Interested?,Cog,2008
"I Like It, I Love It",Lyrics Born,2008
Don't Worry About Nothin',Muph & Plutonic,2008
It's A War,Dukes of Windsor,2008
Little Lion Man [nb 1],Mumford & Sons,2009
Parlez Vous Francais?,Art vs. Science,2009
Chase That Feeling,Hilltop Hoods,2009
Lisztomania,Phoenix,2009
Broken Leg,Bluejuice,2009
Bulletproof,La Roux,2009
Coin Laundry,Lisa Mitchell,2009
Not Fair,Lily Allen,2009
Uprising,Muse,2009
Dog Days Are Over,Florence and the Machine,2009
Heads Will Roll,Yeah Yeah Yeahs,2009
Bonkers,Dizzee Rascal,2009
1901,Phoenix,2009
Sticks 'n' Stones,Jamie T,2009
Home,Edward Sharpe and the Magnetic Zeros,2009
Heavy Cross,Gossip,2009
Fire,Kasabian,2009
Shooting Stars,Bag Raiders,2009
Undisclosed Desires,Muse,2009
Sleepyhead,Passion Pit,2009
Fader,The Temper Trap,2009
Cousins,Vampire Weekend,2009
Warp 1.9,The Bloody Beetroots featuring Steve Aoki,2009
Carol Brown,Flight of the Conchords,2009
Zero,Yeah Yeah Yeahs,2009
Help I'm Alive,Metric,2009
In for the Kill,La Roux,2009
We Won't Run,Sarah Blasko,2009
All I Want,Sarah Blasko,2009
Hurt Feelings,Flight of the Conchords,2009
The Waitress Song,Seth Sentry,2009
Ramona Was a Waitress,Paul Dempsey,2009
Pursuit of Happiness,Kid Cudi featuring MGMT and Ratatat,2009
Brother,Little Birdy,2009
Resistance,Muse,2009
(If You're Wondering If I Want You To) I Want You To,Weezer,2009
Still Standing,Hilltop Hoods,2009
Little Secrets,Passion Pit,2009
One Way Road,John Butler Trio,2009
And the Boys,Angus & Julia Stone,2009
Audacity of Huge,Simian Mobile Disco featuring Chris Keating,2009
Vanilla,British India,2009
Awesome,The Bloody Beetroots featuring The Cool Kids,2009
Rabbit Heart (Raise It Up),Florence and the Machine,2009
Drumming Song,Florence and the Machine,2009
Blood Bank,Bon Iver,2009
Set Fire to the Hive,Karnivool,2009
Science of Fear,The Temper Trap,2009
All of the Dreamers,Powderfinger,2009
Buttons (CSS Remix),Sia,2009
Where Did All the Love Go?,Kasabian,2009
Horchata,Vampire Weekend,2009
Animal,Miike Snow,2009
Crying Lightning,Arctic Monkeys,2009
No You Girls,Franz Ferdinand,2009
Islands,The xx,2009
The Good News,Philadelphia Grand Jury,2009
Love Lost,The Temper Trap,2009
I'm Not Alone,Calvin Harris,2009
22,Lily Allen,2009
Two Weeks,Grizzly Bear,2009
One More Chance,Bloc Party,2009
All I Know,Karnivool,2009
Blood,The Middle East,2009
Foreign Land,Eskimo Joe,2009
Pictures,Illy,2009
Cement,Washington,2009
Omen,The Prodigy,2009
Meet Me on the Equinox,Death Cab for Cutie,2009
My Girls,Animal Collective,2009
Byrds of Prey,Bertie Blackman,2009
You've Changed,Sia,2009
Heartbreaker,MSTRKRFT featuring John Legend,2009
Friend in the Field,Art vs. Science,2009
New Moon Rising,Wolfmother,2009
11th Dimension,Julian Casablancas,2009
She's a Genius,Jet,2009
Remember Me,Tame Impala,2009
Getting Wise,Yves Klein Blue,2009
Holiday,Dizzee Rascal,2009
The Cave,Mumford & Sons,2009
Sometimes,Miami Horror,2009
Raindrops,Basement Jaxx,2009
United States of Eurasia,Muse,2009
Underdog,Kasabian,2009
Too Many Dicks (On the Dance Floor),Flight of the Conchords,2009
The Darkest Side,The Middle East,2009
Creeping Out Sara,NOFX,2009
D.O.A. (Death of Auto-Tune),Jay-Z,2009
Kiss with a Fist,Florence and the Machine,2009
I've Got Friends,Manchester Orchestra,2009
Skeleton Boy,Friendly Fires,2009
Thump,Bertie Blackman,2009
Blue Lips,Regina Spektor,2009
Panic Switch,Silversun Pickups,2009
Ghosts 'n' Stuff,deadmau5 featuring Rob Swire,2009
Laughing With,Regina Spektor,2009
New Fang,Them Crooked Vultures,2009
Hell,Tegan and Sara,2009
Wheels,Foo Fighters,2009
Big Jet Plane,Angus & Julia Stone,2010
Rock It,Little Red,2010
Dance the Way I Feel,Ou Est le Swimming Pool,2010
Plans,Birds of Tokyo,2010
Fall at Your Feet,Boy & Bear,2010
Teenage Crime,Adrian Lux,2010
Fuck You,CeeLo Green,2010
Tokyo (Vampires & Wolves),The Wombats,2010
Magic Fountain,Art vs. Science,2010
Somebody to Love Me,Mark Ronson & The Business Intl. featuring Boy George and Andrew Wyatt,2010
ABC News Theme (Pendulum Remix),Peter Wall & Tony Ansell,2010
Rapunzel,Drapht,2010
Clap Your Hands,Sia,2010
Runaway,Kanye West featuring Pusha T,2010
Barbra Streisand,Duck Sauce,2010
Mace Spray,The Jezabels,2010
Bang Bang Bang,Mark Ronson & The Business Intl. featuring Q-Tip & MNDR,2010
There's Nothing in the Water We Can't Fight,Cloud Control,2010
Crave You,Flight Facilities featuring Giselle Rosselli,2010
Sunday Best,Washington,2010
Undercover Martyn,Two Door Cinema Club,2010
Jellylegs,Children Collide,2010
Addicted,Bliss n Eso,2010
Talking Like I'm Falling Down Stairs,Sparkadia,2010
Eyes Wide Open,Gotye,2010
Not in Love,Crystal Castles featuring Robert Smith,2010
You Got the Dirtee Love,Florence + The Machine & Dizzee Rascal,2010
Radar Detector,Darwin Deez,2010
It Can Wait,Illy featuring Owl Eyes,2010
O.N.E.,Yeasayer,2010
Bloodbuzz Ohio,The National,2010
Pumped Up Kicks,Foster the People,2010
Solitude Is Bliss,Tame Impala,2010
Punching in a Dream,The Naked and Famous,2010
The Bike Song,Mark Ronson & The Business Intl. featuring Kyle Falconer & Spank Rock,2010
Opposite of Adults,Chiddy Bang,2010
Doncamatic,Gorillaz,2010
Young Blood,The Naked and Famous,2010
Revolution,John Butler Trio,2010
"Baby, I'm Gettin' Better",Gyroscope,2010
Down by the River,Bliss n Eso,2010
On Melancholy Hill,Gorillaz,2010
We No Speak Americano,Yolanda Be Cool & DCUP,2010
Baptism,Crystal Castles,2010
Rabbit Song,Boy & Bear,2010
Way Back Home,Bag Raiders,2010
Wild at Heart,Birds of Tokyo,2010
Witchcraft,Pendulum,2010
Easy to Love,The Jezabels,2010
One Life Stand,Hot Chip,2010
Ambling Alp,Yeasayer,2010
Overpass,The John Steel Singers,2010
Reflections,Bliss n Eso,2010
Holidays,Miami Horror featuring Alan Palomo,2010
Giving Up the Gun,Vampire Weekend,2010
Bring Night,Sia,2010
Kickstarts,Example,2010
The Suburbs,Arcade Fire,2010
Rich Kids,Washington,2010
My Eagle,Children Collide,2010
Jackson's Last Stand,Ou Est le Swimming Pool,2010
Hold On,Angus & Julia Stone,2010
Ready to Start,Arcade Fire,2010
Jona Vark,Gypsy & The Cat,2010
One Step,Dead Letter Circus,2010
Audience,Cold War Kids,2010
Holiday,Vampire Weekend,2010
Dog,Andy Bull featuring Lisa Mitchell,2010
Watercolour,Pendulum,2010
Paper Romance,Groove Armada featuring Fenech-Soler & Saint Saviour,2010
The Piper's Song,Gypsy & The Cat,2010
I Can Talk,Two Door Cinema Club,2010
Time to Wander,Gypsy & The Cat,2010
Lucidity,Tame Impala,2010
Coming Around,Hungry Kids of Hungary,2010
Radioactive,Kings of Leon,2010
Shutterbugg,Big Boi featuring Cutty Cartel,2010
Stylo,Gorillaz featuring Bobby Womack & Mos Def,2010
Slow Motion,Little Red,2010
Howlin' for You,The Black Keys,2010
Echoes,Klaxons,2010
Tighten Up,The Black Keys,2010
Modern Man,Arcade Fire,2010
The Hardest Part,Washington,2010
I Feel Better,Hot Chip,2010
Queensland,Evil Eddie,2010
The Saddest Thing I Know,Birds of Tokyo,2010
Monster,"Kanye West featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",2010
Barricade,Interpol,2010
Finally See Our Way,Art vs. Science,2010
Northcote (So Hungover),The Bedroom Philosopher,2010
I Can Change,LCD Soundsystem,2010
Anyone's Ghost,The National,2010
Time to Smile,Xavier Rudd,2010
The High Road,Broken Bells,2010
Go Do,Jónsi,2010
Sleepwalker,Parkway Drive,2010
Spanish Sahara,Foals,2010
Big,Dead Letter Circus,2010
Neutron Star Collision (Love Is Forever),Muse,2010
Somebody That I Used to Know,Gotye featuring Kimbra,2011
Lonely Boy,The Black Keys,2011
Brother,Matt Corby,2011
Feeding Line,Boy & Bear,2011
Midnight City,M83,2011
Video Games,Lana Del Rey,2011
Awkward,San Cisco,2011
Boys like You,360 featuring Gossling,2011
Endless Summer,The Jezabels,2011
I Love It,Hilltop Hoods featuring Sia,2011
Feel So Close,Calvin Harris,2011
Contact High,Architecture in Helsinki,2011
Shake It Out,Florence and the Machine,2011
Call It What You Want,Foster the People,2011
Helena Beat,Foster the People,2011
Tongue Tied,Grouplove,2011
Even Though I'm a Woman,Seeker Lover Keeper,2011
Jump into the Fog,The Wombats,2011
Promises,Nero,2011
Act Yr Age,Bluejuice,2011
Scary Monsters and Nice Sprites,Skrillex,2011
Air,Snakadaktal,2011
Jungle,Emma Louise,2011
1996,The Wombats,2011
Cameo Lover,Kimbra,2011
Techno Fan,The Wombats,2011
Changed the Way You Kiss Me,Example,2011
Pumped Up Kicks (Like a Version),Owl Eyes,2011
Sing It (The Life of Riley),Drapht,2011
Bounce,Calvin Harris featuring Kelis,2011
It's Nice to Be Alive,Ball Park Music,2011
L.I.F.E.G.O.E.S.O.N.,Noah and the Whale,2011
Otis,Jay Z & Kanye West,2011
I Feel Better,Gotye,2011
Cigarettes,Illy,2011
"No Light, No Light",Florence and the Machine,2011
Killer,360,2011
All I Want Is You,Ball Park Music,2011
Cinema (Skrillex Remix),Benny Benassi featuring Gary Go,2011
Houdini,Foster the People,2011
Under Cover of Darkness,The Strokes,2011
What the Water Gave Me,Florence and the Machine,2011
Itchin' on a Photograph,Grouplove,2011
Speak of the Devil,Hermitude,2011
Junk of the Heart (Happy),The Kooks,2011
Hanging On,Active Child,2011
Mary,Sparkadia,2011
A.I.M. Fire!,Art vs. Science,2011
Milk & Sticks,Boy & Bear,2011
Part Time Believer,Boy & Bear,2011
Money,The Drums,2011
Good Intent,Kimbra,2011
Holocene,Bon Iver,2011
Turn Me On,The Grates,2011
Escapee,Architecture in Helsinki,2011
China,Sparkadia,2011
Lay It Down,The Rubens,2011
I Follow Rivers,Lykke Li,2011
Holy Moses,Washington,2011
Gabriel,Joe Goddard featuring Valentina,2011
Lotus Flower,Radiohead,2011
Black Water Rising,Stonefield,2011
Rope,Foo Fighters,2011
Raiders,Owl Eyes,2011
Re-Wired,Kasabian,2011
Perth,Bon Iver,2011
Zimbabwe,New Navy,2011
Don't Sit Down 'Cause I've Moved Your Chair,Arctic Monkeys,2011
Calgary,Bon Iver,2011
She's Like a Comet,Jebediah,2011
Arnold,Luke Million,2011
Foreign Language,Flight Facilities featuring Jess Higgs,2011
First of the Year (Equinox),Skrillex,2011
Bali Party,Drapht featuring N'fa,2011
Shot Yourself in the Foot Again,Example and Skream,2011
Dreamshaker,Redcoats,2011
The Look,Metronomy,2011
History's Door,Husky,2011
Wildfire,SBTRKT featuring Little Dragon,2011
The Truth,Pnau,2011
Biding My Time,Busby Marou,2011
Ritual Union,Little Dragon,2011
Future Starts Slow,The Kills,2011
Throw It Away,360 featuring Josh Pyke,2011
Gay Pirates,Cosmo Jarvis,2011
Light All My Lights,Seeker Lover Keeper,2011
In Your Light,Gotye,2011
Shuffle,Bombay Bicycle Club,2011
Santa Fe,Beirut,2011
Make Some Noise,Beastie Boys,2011
Fragile Bird,City and Colour,2011
The Wilhelm Scream,James Blake,2011
Two Way Street,Kimbra,2011
Our Perfect Disease,The Wombats,2011
Naked Kids,Grouplove,2011
Machu Picchu,The Strokes,2011
Arlandria,Foo Fighters,2011
Niggas in Paris,Jay-Z & Kanye West,2011
You Should Consider Having Sex with a Bearded Man,The Beards,2011
The Suburbs,Mr Little Jeans,2011
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz,2012
Little Talks,Of Monsters and Men,2012
Breezeblocks,alt-J,2012
Holdin On,Flume,2012
I Will Wait,Mumford & Sons,2012
Get Free,Major Lazer featuring Amber Coffman,2012
Elephant,Tame Impala,2012
Lost,Frank Ocean,2012
Feels Like We Only Go Backwards,Tame Impala,2012
My Gun,The Rubens,2012
Sweet Nothing,Calvin Harris featuring Florence Welch,2012
Sleepless,Flume featuring Jezzabell Doran,2012
Gold on the Ceiling,The Black Keys,2012
I Love It,Icona Pop featuring Charli XCX,2012
Same Love,Macklemore & Ryan Lewis featuring Mary Lambert,2012
Not Giving In,Rudimental featuring John Newman & Alex Clare,2012
Clair de Lune,Flight Facilities featuring Christine Hoberg,2012
HyperParadise (Flume Remix),Hermitude,2012
Angels,The xx,2012
Feel the Love,Rudimental featuring John Newman,2012
Latch,Disclosure featuring Sam Smith,2012
Trembling Hands,The Temper Trap,2012
Coming Down,Ball Park Music,2012
I'm Into You,Chet Faker,2012
Bangarang,Skrillex featuring Sirah,2012
Dear Science,Seth Sentry,2012
Surrender,Ball Park Music,2012
Default,Django Django,2012
Cherry Lips,Loon Lake,2012
Laura,Bat for Lashes,2012
Gasoline,Alpine,2012
Spectrum (Say My Name) (Calvin Harris Remix),Florence and the Machine,2012
Can't Get Better Than This,Parachute Youth,2012
Born to Die,Lana Del Rey,2012
Run Alone,360,2012
Paddling Out,Miike Snow,2012
Sun,Two Door Cinema Club,2012
Oblivion,Grimes,2012
Hold On,Alabama Shakes,2012
R U Mine?,Arctic Monkeys,2012
I Can Make You Love Me,British India,2012
Hurricane,MS MR,2012
Ho Hey,The Lumineers,2012
Follow the Sun,Xavier Rudd,2012
Young and Dumb,Chance Waters featuring Bertie Blackman,2012
Take a Walk,Passion Pit,2012
Mountain Sound,Of Monsters and Men,2012
Fred Astaire,San Cisco,2012
Brother (Like a Version),Thundamentals,2012
My Heart Is on Fire,Asta,2012
This Fire,Birds of Tokyo,2012
Ghosts,The Presets,2012
Wild Things,San Cisco,2012
I Got Burned,The Bamboos featuring Tim Rogers,2012
Internet Friends,Knife Party,2012
Thinkin Bout You,Frank Ocean,2012
Float Away,Seth Sentry,2012
Babel,Mumford & Sons,2012
Love This,Cosmo Jarvis,2012
Love Interruption,Jack White,2012
Caress Your Soul,Sticky Fingers,2012
Just What I Am,Kid Cudi featuring King Chip,2012
Wolf,First Aid Kit,2012
Tessellate,alt-J,2012
Genesis,Grimes,2012
The Best We Got,The Rubens,2012
On Top,Flume featuring T.Shirt,2012
Silhouettes,Avicii,2012
Lonely Boy (Like a Version),Matt Corby,2012
Promises,The Presets,2012
Swimming Pools (Drank),Kendrick Lamar,2012
All the Rowboats,Regina Spektor,2012
Draw a Crowd,Ben Folds Five,2012
Simple Song,The Shins,2012
Madness,Muse,2012
Heard It All,Illy,2012
Love Is All I Got,Feed Me and Crystal Fighters,2012
Household Goods,Totally Enormous Extinct Dinosaurs,2012
Little Black Submarines,The Black Keys,2012
Super Rich Kids,Frank Ocean featuring Earl Sweatshirt,2012
Something Good,alt-J,2012
Disparate Youth,Santigold,2012
She's a Riot,The Jungle Giants,2012
Rattling the Keys to the Kingdom,Hilltop Hoods,2012
Fineshrine,Purity Ring,2012
Summertime Sadness,Lana Del Rey,2012
Chronicles of a Fallen Love,The Bloody Beetroots featuring Greta Svabo Bech,2012
Down the Road,C2C,2012
Maybe Tomorrow,Chance Waters featuring Lilian Blue,2012
Sleep Alone,Two Door Cinema Club,2012
So Good,Allday,2012
Spiritus,Lisa Mitchell,2012
Dance Bear,Snakadaktal,2012
45,The Gaslight Anthem,2012
Andy,Last Dinosaurs,2012
Clique,Kanye West featuring Big Sean & Jay Z,2012
I'm Shakin',Jack White,2012
Warrior,Kimbra featuring Mark Foster & A-Trak,2012
Bad Girls,M.I.A.,2012
Cough Cough,Everything Everything,2012
Riptide[3],Vance Joy,2013
Royals,Lorde,2013
Get Lucky,Daft Punk featuring Pharrell Williams,2013
Do I Wanna Know?,Arctic Monkeys,2013
Drop the Game,Flume and Chet Faker,2013
Why'd You Only Call Me When You're High?,Arctic Monkeys,2013
Young and Beautiful,Lana Del Rey,2013
Resolution,Matt Corby,2013
Is This How You Feel?,The Preatures,2013
Strong,London Grammar,2013
The Wire,Haim,2013
Tennis Court,Lorde,2013
Retrograde,James Blake,2013
Covered in Chrome,Violent Soho,2013
Team,Lorde,2013
Reflektor,Arcade Fire,2013
Lose Yourself to Dance,Daft Punk featuring Pharrell Williams,2013
Arabella,Arctic Monkeys,2013
Given the Chance,The Kite String Tangle,2013
Black Skinhead,Kanye West,2013
Take Me,RÜFÜS,2013
Lanterns,Birds of Tokyo,2013
When a Fire Starts to Burn,Disclosure,2013
Waiting All Night,Rudimental featuring Ella Eyre,2013
Your Body Is a Weapon,The Wombats,2013
Step,Vampire Weekend,2013
Falling,Haim,2013
Recover,Chvrches,2013
My Number,Foals,2013
Alive,Empire of the Sun,2013
Diane Young,Vampire Weekend,2013
Smiles Don't Lie,Thundamentals,2013
Ways to Go,Grouplove,2013
Desert Night,RÜFÜS,2013
Hey Now,London Grammar,2013
Ratchet,Bloc Party,2013
Gun,Chvrches,2013
Pizza Guy,Touch Sensitive,2013
Get Lucky (Like a Version),San Cisco,2013
Born to Die,The Amity Affliction,2013
Southern Sun,Boy & Bear,2013
White Lies,Max Frost,2013
3005,Childish Gambino,2013
The Breach,Dustin Tebbutt,2013
Global Concepts,Robert DeLong,2013
If I Had a Tail,Queens of the Stone Age,2013
Free,Rudimental featuring Emeli Sandé,2013
Stand Still,Flight Facilities featuring Micky Green,2013
Doin' It Right,Daft Punk featuring Panda Bear,2013
Love Me Again,John Newman,2013
"Eat, Sleep, Rave, Repeat",Fatboy Slim and Riva Starr featuring Beardyman,2013
Scar,Cloud Control,2013
Ohio,Kingswood,2013
Afterlife,Arcade Fire,2013
Harlequin Dream,Boy & Bear,2013
If I Could Change Your Mind,Haim,2013
Keep On Running,Andy Bull,2013
Instant Crush,Daft Punk featuring Julian Casablancas,2013
Bound 2,Kanye West,2013
Lies,Chvrches,2013
Wasting My Young Years,London Grammar,2013
Embrace,Goldroom featuring Ariela Jacobs,2013
You & Me (Flume Remix),Disclosure featuring Eliza Doolittle,2013
Graceless,The National,2013
Melt,Chet Faker featuring Kilo Kish,2013
Ausmusic Month Medley (Like a Version),Illy,2013
Act Your Age,Bliss N Eso,2013
Sweet Nothing (Like a Version),Something For Kate,2013
White Noise,Disclosure featuring AlunaGeorge,2013
Australia Street,Sticky Fingers,2013
Changing of the Seasons,Two Door Cinema Club,2013
I Sat by the Ocean,Queens of the Stone Age,2013
Thank You,"Busta Rhymes featuring Q-Tip, Kanye West and Lil Wayne",2013
Jessica,Major Lazer featuring Ezra Koenig,2013
I Spy,Mikhael Paskalev,2013
"Listen to Soul, Listen to Blues",SAFIA,2013
Youngbloods,Illy featuring Ahren Stringer,2013
Fantasy,MS MR,2013
Fuckin' Problems,"A$AP Rocky featuring 2 Chainz, Drake and Kendrick Lamar",2013
Always,Panama,2013
Baby I Am Nobody Now,Andy Bull,2013
Dojo Rising,Cloud Control,2013
The End,The Jezabels,2013
Summer Forgive Me,British India,2013
Sangria,Remi,2013
Sleepwalking,Bring Me the Horizon,2013
Only One,John Butler Trio,2013
Leeward Side,Josh Pyke,2013
